Original_Finding_ID,Source_Advisor,Finding_Title,Severity,Merged_Into_Initiative,Initiative_Title,Consolidation_Ratio
A-2,Pragmatist,"Error Handling Scattered",MEDIUM,I-6,"Input Validation & Configuration Hardening",centralize
A-3,Pragmatist,"Cleanup Scattered",MEDIUM,I-6,"Input Validation & Configuration Hardening",centralize
A-4,Pragmatist,"Race Conditions Untested",MEDIUM,I-3,"File Locking & Race Condition Mitigation",testing-debt
T-001,Pragmatist,"Untested Concurrency Operations",MEDIUM,I-3,"File Locking & Race Condition Mitigation",testing-blocker
T-003,Pragmatist,"Cursor Lifecycle Under Contention",MEDIUM,I-1,"Cryptographic Cursor Integrity & Signing",testing-blocker
T-005,Pragmatist,"Manifest Write Race",MEDIUM,I-3,"File Locking & Race Condition Mitigation",testing-blocker
Cluster-A,Pragmatist,"Genesis Non-Functionality",HIGH,I-4,"Genesis Tool Registration & MCP Wiring",foundation-integration
Cluster-B,Pragmatist,"Event Durability Contradiction",CRITICAL,I-5,"Event Durability & Persistence",consensus-blocker
Cluster-C,Pragmatist,"Project Isolation Enforcement Weakness",HIGH,I-6,"Input Validation & Configuration Hardening",session-checks
Cluster-D,Pragmatist,"Integration Mismatches",HIGH,I-4,"Genesis Tool Registration & MCP Wiring",tool-endpoint-gaps
Cluster-E,Pragmatist,"Validation & Sanitization",MEDIUM,I-6,"Input Validation & Configuration Hardening",bounds-checking
Cluster-F,Pragmatist,"Silent Failures & Operational Blindness",MEDIUM,I-6,"Input Validation & Configuration Hardening",fail-safe-indicators
Cluster-G,Pragmatist,"Documentation & Arch Maintenance",MEDIUM,I-6,"Input Validation & Configuration Hardening",documentation-debt
Cluster-H,Pragmatist,"Incomplete/Deferred Scope",MEDIUM,DEFER,"Phase 2B / Phase 3 Work Items",scope-clarity
